ads_title,posted_date,priority_date,category,school,department,specialization,rank,city,state,canada,current_status,comments1,comments2,ads_source,ads_job_code
Assistant Professor of Chemistry,02/28/2025,,,"=hyperlink(""https://leesmcrae.peopleadmin.com/postings/251"",""Lees-McRae College"")",,,asst/full ,Banner Elk,NC,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179068923"",""HigherEdJobs"")",179068923
Adjunct Faculty in Chemistry (Summer),02/28/2025,,,"=hyperlink(""https://tamus.wd1.myworkdayjobs.com/en-US/TAMUSA_External/job/San-Antonio-TX/Adjunct-Faculty-in-Chemistry--Summer-_R-081842?source=HigherEdJobs"",""Texas A&M University-San Antonio"")",,,,San Antonio,TX,,,non-tenure,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179069255"",""HigherEdJobs"")",179069255
Chemistry Adjunct Faculty,02/28/2025,,,"=hyperlink(""https://careers.centralstate.edu/postings/7999"",""Central State University"")",,,,Wilberforce,OH,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179069308"",""HigherEdJobs"")",179069308
"Assistant Professor of Chemistry, Full-Time, Tenure Track",02/28/2025,,,"=hyperlink(""https://www.vcsu.edu/jobs/"",""Valley City State University"")",,,asst,Valley City,ND,,,tenure,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179069698"",""HigherEdJobs"")",179069698
Research Fellow,02/28/2025,,,"=hyperlink(""https://careers.umich.edu/job_detail/260855/research-fellow"",""University of Michigan"")",,,,Ann Arbor,MI,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179069476"",""HigherEdJobs"")",179069476
Chemistry Instructor - Adjunct (On-Campus),02/28/2025,,,"=hyperlink(""https://recruiting.ultipro.com/EVE1012EVGC/JobBoard/fa3fd832-d3d7-46b5-9d44-028e3097302b/OpportunityDetail?opportunityId=3bab6367-1631-4f0a-8ab5-eee51bdc716a"",""Keiser University"")",,,,Jacksonville,FL,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179069986"",""HigherEdJobs"")",179069986
"Adjunct Faculty, Chemistry",02/28/2025,,,"=hyperlink(""https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=143189&clientkey=74E03CF8736A837878EE360903D909BA"",""Lake Erie College"")",,,,Painesville,OH,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179069914"",""HigherEdJobs"")",179069914
Instructor and Chemistry Lab Manager,02/27/2025,,,"=hyperlink(""https://www.paycomonline.net/v4/ats/web.php/jobs/ViewJobDetails?job=189658&clientkey=BC25C89BF322A723B1E209741EE99F00"",""Mount St. Joseph University"")",,,,Cincinnati,OH,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179067539"",""HigherEdJobs"")",179067539
"Adjunct Faculty - General Chemistry I, II &amp; Organic Chemistry I, II",02/27/2025,,,"=hyperlink(""https://nunm.edu/jobs/?ID=77144&screen=job"",""National University of Natural Medicine"")",,Organic,,Portland,OR,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179067525"",""HigherEdJobs"")",179067525
"Adjunct-Instructor, Chemistry (Asynchronous)",02/26/2025,,,"=hyperlink(""https://rvcc.interviewexchange.com/jobofferdetails.jsp?JOBID=162677&CNTRNO=59&TSTMP=0"",""Raritan Valley Community College"")",,,,Branchburg,NJ,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179067371"",""HigherEdJobs"")",179067371
Professor of Physical Science (Chemistry),02/26/2025,,,"=hyperlink(""https://Jobs.FSCJ.edu"",""Florida State College at Jacksonville"")",,Physical,,Jacksonville,FL,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179067066"",""HigherEdJobs"")",179067066
"Adjunct-Instructor, Organic Chemistry",02/26/2025,,,"=hyperlink(""https://rvcc.interviewexchange.com/jobofferdetails.jsp?JOBID=179603&CNTRNO=48&TSTMP=0"",""Raritan Valley Community College"")",,Organic,,North Branch,NJ,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179067389"",""HigherEdJobs"")",179067389
"Adjunct-Instructor, General Chemistry",02/26/2025,,,"=hyperlink(""https://rvcc.interviewexchange.com/jobofferdetails.jsp?JOBID=179604&CNTRNO=47&TSTMP=0"",""Raritan Valley Community College"")",,,,North Branch,NJ,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179067394"",""HigherEdJobs"")",179067394
"Adjunct Faculty, Chemistry",02/26/2025,,,"=hyperlink(""https://hcm.lonestar.edu/hcmjob.html?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&PostingSeq=1&JobOpeningId=42401"",""Lone Star College System"")",,,,The Woodlands,TX,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179067274"",""HigherEdJobs"")",179067274
"Part-Time Assistant I, Chemistry Lab",02/25/2025,,,"=hyperlink(""https://hcm.lonestar.edu/hcmjob.html?Page=HRS_APP_JBPST_FL&Action=U&FOCUS=Applicant&SiteId=1&PostingSeq=1&JobOpeningId=42393"",""Lone Star College System"")",,,asst,The Woodlands,TX,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179065983"",""HigherEdJobs"")",179065983
Assistant/Associate Professor- Chemistry,02/25/2025,,,"=hyperlink(""https://recruiting.paylocity.com/recruiting/jobs/Details/3056860/Greenville-University/AssistantAssociate-Professor--Chemistry"",""Greenville University"")",,,asst/assoc,Greenville,IL,,,,,"=hyperlink(""https://www.higheredjobs.com/faculty/details.cfm?JobCode=179065792"",""HigherEdJobs"")",179065792
